"source_row_id","state_abbr","county_name","zip"
"1541","TX","Smith","75708"
"1542","TX","Cherokee","75766"
"1543","TX","Angelina","75901"
"1544","TX","Nacogdoches","75964"
"1545","TX","Tarrant","76008"
"1546","TX","Johnson","76009"
"1547","TX","Tarrant","76040"
"1548","TX","Hill","76055"
"1549","TX","Parker","76087"
"1550","TX","Tarrant","76103"
"1551","TX","Tarrant","76108"
"1552","TX","Tarrant","76117"
"1553","TX","Tarrant","76140"
"1554","TX","Denton","76208"
"1555","TX","Grayson","76273"
"1556","TX","Wichita","76307"
"1557","TX","Wichita","76308"
"1558","TX","Wichita","76367"
"1559","TX","Bell","76501"
"1560","TX","Bell","76534"
"1561","TX","Coryell","76544"
"1562","TX","Ellis","76623"
"1563","TX","Limestone","76667"
"1564","TX","McLennan","76705"
"1565","TX","McLennan","76712"
"1566","TX","Brown","76801"
"1567","TX","Tom Green","76905"
"1568","TX","Harris","77016"
"1569","TX","Harris","77051"
"1570","TX","Harris","77078"
"1571","TX","Montgomery","77301"
"1572","TX","Montgomery","77327"
"1573","TX","Polk","77351"
"1574","TX","Harris","77396"
"1575","TX","Colorado","77412"
"1576","TX","Fort Bend","77461"
"1577","TX","Fort Bend","77471"
"1578","TX","Galveston","77510"
"1579","TX","Galveston","77511"
"1580","TX","Brazoria","77515"
"1581","TX","","77520"
"1582","TX","Chambers","77523"
"1583","TX","Galveston","77539"
"1584","TX","Fort Bend","77545"
"1585","TX","Newton","77612"
"1586","TX","Hardin","77625"
"1587","TX","Jefferson","77627"
"1588","TX","Orange","77630"
"1589","TX","Jefferson","77705"
"1590","TX","Grimes","77830"
"1591","TX","Brazos","77845"
"1592","TX","Victoria","77951"
"1593","TX","Kerr","78028"
"1594","TX","Webb","78043"
"1595","TX","Comal","78130"
"1596","TX","Bexar","78219"
"1597","TX","Bexar","78252"
"1598","TX","Kleberg","78363"
"1599","TX","Nueces","78380"
"1600","TX","San Patricio","78387"
"1601","TX","Nueces","78415"
"1602","TX","Cameron","78521"
"1603","TX","Hidalgo","78537"
"1604","TX","Hidalgo","78539"
"1605","TX","Hidalgo","78541"
"1606","TX","Hidalgo","78563"
"1607","TX","Travis","78610"
"1608","TX","Williamson","78634"
"1609","TX","Travis","78719"
"1610","TX","Travis","78754"
"1611","TX","Randall","79015"
"1612","TX","Gray","79065"
"1613","TX","Ochiltree","79070"
"1614","TX","Potter","79124"
"1615","TX","Lubbock","79311"
"1616","TX","Lubbock","79401"
"1617","TX","Lubbock","79403"
"1618","TX","Mitchell","79512"
"1619","TX","Scurry","79549"
"1620","TX","Nolan","79556"
"1621","TX","Jones","79601"
